text,label,score,start,end,source
"The recent rash of anti-abortion laws reflects the uncertainty of America’s future. The writing may be on the wall for Roe v. Wade, but when it comes to what happens next, the public might still have a say.",Evidence,0.33576706051826477,5159,5365,abortion-florida-15-week-ban
"When Chris Lawson began dating Alexandra Salamis, the woman who would eventually become his partner, he was “Mr. Super Attentive Dude,” he said, the type of guy who enjoyed buying cards and flowers for no reason other than to show how much he loved her.",Evidence,0.7563069462776184,0,253,adhd-dating-relationships
"But after they moved in together in 2015, things changed.",Rebuttal,0.8570256233215332,253,310,adhd-dating-relationships
"He became more distracted and forgetful. Whether it was chores, planning social events or anything deadline-driven — like renewing a driver’s license — Ms. Salamis, 60, had to continually prod Mr. Lawson to get things done. Invariably, she just ended up doing them herself.",Evidence,0.9713975191116333,310,583,adhd-dating-relationships
"“I was responsible for nothing,” Mr. Lawson, 55, admitted.",Claim,0.36051705479621887,583,641,adhd-dating-relationships
"Ms. Salamis, who is not one to mince words, described that period of their relationship as “like living with a child,” later adding, “I hated him, frankly.”",Evidence,0.6811468601226807,641,797,adhd-dating-relationships
"But when she brought up her frustrations, Mr. Lawson would become defensive. And as she continued to nag, she started to feel more like a parent than a partner, something they both resented.",Rebuttal,0.8274434208869934,797,987,adhd-dating-relationships
"Then in 2019, at a friend’s suggestion, the pair read an article about how attention deficit hyperactivity disorder, or A.D.H.D., can affect romantic relationships.",Evidence,0.5225843787193298,987,1151,adhd-dating-relationships
"“We both kind of looked at each other and our jaws dropped,” Ms. Salamis said.",Evidence,0.5948819518089294,1151,1229,adhd-dating-relationships
"The couple, who live in Ottawa, had discovered something millions of others have realized, often after years of conflict: One of them — in this case, Mr. Lawson — most likely had A.D.H.D., a neurodevelopmental disorder often characterized by inattention, disorganization, hyperactivity and impulsivity.",Evidence,0.7539401650428772,1229,1531,adhd-dating-relationships
"When one or both members of a couple have A.D.H.D., the relationship typically has unique challenges, which are usually exacerbated when the disorder goes undiagnosed, experts say. Studies suggest that people with A.D.H.D. have higher levels of interpersonal problems than their peers do, and marriages that include adults with A.D.H.D. are more likely to be unsatisfying.",Evidence,0.8901106119155884,1531,1903,adhd-dating-relationships
"Forums like the one found on the popular website A.D.H.D. and Marriage are often filled with stories of frazzled, emotionally spent spouses stuck in unhealthy, yearslong patterns. But if a couple makes a strong effort to learn more about the disorder, manage its symptoms and find more effective ways to communicate, they can revitalize their relationship.",Evidence,0.9456061124801636,1903,2259,adhd-dating-relationships
"People with A.D.H.D. may lack self-awareness, which can make it difficult to recognize how they are coming across to other people or how their behavior contributes to the problems they’re experiencing in their relationships, according to Russell A. Barkley, a psychologist and the author of “Taking Charge of Adult A.D.H.D.”",Evidence,0.7236612439155579,2259,2583,adhd-dating-relationships
"Those who struggle with impulsivity might take unnecessary risks, or they might opt for immediate rewards, such as the pleasure of playing a video game, instead of focusing on mundane tasks that need to get done. People with A.D.H.D. are also often forgetful about what they’re supposed to be doing and tend to have big, emotional reactions that are stronger than what a situation might warrant — which can lead to explosive conflict.",Evidence,0.9453351497650146,2583,3017,adhd-dating-relationships
"Contrary to the assumption that people with A.D.H.D. are always unfocused, many can focus intently on the things that interest them. But if they are especially attentive to a loved one during a relationship’s honeymoon phase and that intense interest eventually fades, a pattern can emerge where the non-A.D.H.D. partner feels unloved.",Rebuttal,0.5643227696418762,3017,3352,adhd-dating-relationships
"“If your partner is chronically distracted, that means they are also distracted from you,” said Melissa Orlov, a marriage consultant who leads seminars for couples who are struggling with relationship difficulties, in part because of A.D.H.D. “That becomes very confusing and then it angers the partner because they feel like they’re not really being paid attention to. You’re like, ‘What, don’t you love me anymore? This isn’t the way it used to be.’”",Evidence,0.977691650390625,3352,3804,adhd-dating-relationships
"While this can be incredibly frustrating to the partner who does not have A.D.H.D., understanding these symptoms is a step toward embracing feelings of compassion and empathy over continual resentment.",Claim,0.3566201627254486,3804,4005,adhd-dating-relationships
"“Our loved ones with A.D.H.D. cannot help behaving the way they do,” Dr. Barkley said. It is a biological disorder, he added, “not a lifestyle choice. It is not simply something they could change in their mind over time if they wanted to.”",Evidence,0.8530932068824768,4005,4244,adhd-dating-relationships
"Dr. Alicia Hart, 34, a primary care doctor, met her husband when she was 18. They both said “I love you” within three days and “were in a committed serious relationship from then on,” she said. “People thought we were nuts. I mean, we met at a frat party.”",Evidence,0.8626720309257507,4244,4500,adhd-dating-relationships
"The couple, who live in Portland, Ore., with their three kids, both have A.D.H.D.",Claim,0.5417895913124084,4500,4581,adhd-dating-relationships
"Most of their conflict has revolved around scheduling mishaps, “threatening to record conversations to prove that they happened or me starting another overambitious project without thinking it through or thinking of the impact on him,” Dr. Hart said in an email. “I also hate being late and have developed one million strategies to avoid this, where he has literally no concept of time and cannot be on time to save his life.”",Evidence,0.9115223288536072,4581,5007,adhd-dating-relationships
"By playing to their individual strengths, they’re able to keep the household running. He pays the bills and manages all the finances. She keeps track of the daily routine, setting alarms on their smart speaker to help him remember things like lunchtime. They use a shared online calendar and a wall calendar, too.",Evidence,0.975865364074707,5007,5320,adhd-dating-relationships
"Robyn Aaron, a 36-year-old mother of two who was diagnosed with A.D.H.D. last year, said she and her husband now have a weekly meeting to stay organized, but they try to make it as fun as possible.",Evidence,0.7682572603225708,5320,5517,adhd-dating-relationships
"“We treat it like a date night — pour a glass of wine, maybe even light a candle,” said Ms. Aaron, who lives in Lisbon, Iowa. “He gives the check-in on finances; I give the skinny on the calendar.”",Evidence,0.9567814469337463,5517,5714,adhd-dating-relationships
"They also discuss their ongoing do-it-yourself projects, upcoming trips and any needs or wants.",Claim,0.7843818664550781,5714,5809,adhd-dating-relationships
"“It’s become even more important to us since the pandemic began to connect in this way, and it’s super helpful for my coping strategies with A.D.H.D., too,” she added.",Evidence,0.42012256383895874,5809,5976,adhd-dating-relationships
"In the book “A.D.H.D. After Dark: Better Sex Life, Better Relationship,” Ari Tuckman, the author, psychologist and sex therapist, surveyed more than 3,000 adults in couples where one partner had A.D.H.D. He found that the people who felt that their partners put in the most effort at either managing their own A.D.H.D. or supporting a partner with A.D.H.D. had almost twice as much sex as those who said their partners put in the least effort.",Evidence,0.9432650804519653,5976,6419,adhd-dating-relationships
"For some partners with A.D.H.D., it can be hard to accept the need for change and can also be difficult to be optimistic that new strategies will make a difference, especially if medications or past strategies haven’t worked.",Evidence,0.4553253948688507,6419,6644,adhd-dating-relationships
"But it’s worth continuing to educate yourself about the different options available to people with A.D.H.D., or perhaps even seeking out a different clinician from the one you’ve been seeing, he added.",Rebuttal,0.8457597494125366,6644,6845,adhd-dating-relationships
Dr. Tuckman also advised both partners to choose their battles.,Claim,0.8409714102745056,6845,6908,adhd-dating-relationships
"“A.D.H.D. doesn’t invent new problems, it just exacerbates the universal ones,” he said. “It’s the stuff that every other couple argues about, just more often.”",Evidence,0.3971693515777588,6908,7068,adhd-dating-relationships
"It is within your right to insist that your partner get the kids to school on time, for example, and ideally you will find a way to make that happen. But, Dr. Tuckman cautioned, “you only get a small number of deal breakers.”",Evidence,0.6487324237823486,7068,7293,adhd-dating-relationships
"Experts agree that medication alone is not the best way to manage A.D.H.D., but it can complement other strategies like cognitive behavioral therapy, coaching, mindfulness and exercise.",Claim,0.2920837700366974,7293,7478,adhd-dating-relationships
"It wasn’t until he had been married for 16 years that Taylor Weeks, 36, finally realized that A.D.H.D. had been at the root of so much of the discord between him and his wife.",Evidence,0.4984033703804016,7478,7653,adhd-dating-relationships
"As far back as he can remember, he struggled with time blindness and forgetfulness, continually dropping the ball and then chastising himself for it.",Claim,0.4741550087928772,7653,7802,adhd-dating-relationships
"“It has always been kind of a huge stressor for my wife,” said Mr. Weeks, who lives in Rio Rancho, N.M. “She’s constantly been frustrated with me.”",Evidence,0.7237758040428162,7802,7949,adhd-dating-relationships
"He is now seeing a psychologist, taking medication for the A.D.H.D. symptoms and practicing mindfulness to help ease his anxiety.",Evidence,0.504638135433197,7949,8078,adhd-dating-relationships
"He still struggles with forgetfulness, but his mind feels more clear.",Claim,0.6290214657783508,8078,8147,adhd-dating-relationships
"“Before, I felt like I always had a bunch of thoughts going through my mind all the time,” he said. “But when it came down to try to articulate what I’m thinking, it was really difficult for me to get that out of my head and get my point across.”",Evidence,0.7120636701583862,8147,8393,adhd-dating-relationships
"His wife is noticing, he added, and told him he’s easier to communicate with and seems more engaged with their four children.",Evidence,0.6189450621604919,8393,8518,adhd-dating-relationships
Mr. Lawson’s relationship also improved after he was eventually diagnosed with A.D.H.D. and prescribed a medication that improved his memory and ability to focus.,Claim,0.5649112462997437,8518,8680,adhd-dating-relationships
"“It’s literally like a blanket has been removed from my head,” he said.",Evidence,0.5057408213615417,8680,8751,adhd-dating-relationships
"Just as important, they also attended couples therapy and learned how to better relate to each other and develop strategies to get things done at home.",Claim,0.554645836353302,8751,8902,adhd-dating-relationships
"Ms. Salamis, for her part, worked to break old patterns of behavior where she would continually check up on her partner or try to manage every aspect of their household. There was no need to do so anymore, because he was actually doing the things that needed to get done.",Evidence,0.8503020405769348,8902,9173,adhd-dating-relationships
"It has been a long road to get to this point, Mr. Lawson continued, but now, he said, “I can be the guy she fell in love with.”",Evidence,0.3072226643562317,9173,9300,adhd-dating-relationships
"KABUL, Afghanistan — A young boy died on Friday after being trapped in a well for several days in southern Afghanistan, Taliban officials said, heralding a tragic end to a round-the-clock rescue effort led by officials at the highest levels of the country’s new government.",Evidence,0.9430404305458069,0,273,afghanistan-boy-dies-well
"The boy, Haidar Jan, who was thought to be 5, fell into a roughly 85-foot-deep well on Tuesday in a village near Qalat, the capital of Zabul Province. By Thursday, rescuers had sent cameras and ropes down the barely foot-wide borehole to no avail, in a scene reminiscent of an effort in Morocco this month.",Evidence,0.9705137014389038,273,579,afghanistan-boy-dies-well
"Around the time they discovered that Haidar was not moving, officials said, they began digging into the earth around the scene.",Evidence,0.49000027775764465,579,706,afghanistan-boy-dies-well
"“Zabul officials, in coordination with Kabul officials and the Zabul municipality, worked for about 70 hours and used various tools and equipment to rescue the child,” said Sharafat Wyar, the head of Zabul’s information and culture department. “When the child was rescued from the well, he was alive for a short time, but after awhile, he died.”",Evidence,0.9831274747848511,706,1051,afghanistan-boy-dies-well
"Anas Haqqani, the brother of Sirajuddin Haqqani, the Taliban’s acting interior minister, helped lead the rescue effort, which involved the police, public works and the Taliban’s fledgling air force. The acting defense minister, Muhammad Yaqoub, was also present to assist with commanding the operation.",Evidence,0.9772043824195862,1051,1353,afghanistan-boy-dies-well
"Haidar’s death comes only weeks after the efforts to rescue a 5-year-old boy in Morocco, Rayan Oram, captivated people around the globe after he plunged into a well in his own small village.",Evidence,0.5770952701568604,1353,1543,afghanistan-boy-dies-well
"The operation in Morocco to save Rayan, who also died, was accompanied by days of vigils and internet livestreams that followed the rescue effort with thousands of viewers.",Evidence,0.596437394618988,1543,1715,afghanistan-boy-dies-well
"Wells are commonplace in Afghanistan, with more than 70 percent of the country’s 38 million people living in rural areas. As one of the worst droughts in decades drags on into another year, Afghan farmers are digging their wells increasingly deeper to reach a quickly diminishing water table. The well into which Haidar fell on Tuesday was completely dry, Mr. Wyar said.",Evidence,0.9909127950668335,1715,2085,afghanistan-boy-dies-well
"Eventually, excavators dug a trench into the side of the well to retrieve the boy after initial attempts to pull him out failed. Videos taken from the scene during the rescuers’ early attempts showed a claustrophobic chamber already clogged with debris and ropes.",Evidence,0.9333077073097229,2085,2348,afghanistan-boy-dies-well
"In Afghanistan, Haidar’s plight garnered far less attention than young Rayan’s, though the Taliban seized on the opportunity to publicize their ability to marshal an effective emergency response.",Evidence,0.6455936431884766,2348,2543,afghanistan-boy-dies-well
"The rescue of a helpless young boy also provided an opportunity to present a nuanced and attentive side of the Taliban leadership, which is regularly subject to international admonition for its hard-line religious stance and fought a violent insurgency for decades before taking power last year.",Evidence,0.5551219582557678,2543,2838,afghanistan-boy-dies-well
"“It is with regret that Haidar Jan left us forever,” Anas Haqqani said on Twitter shortly after the boy was removed from the well. The Taliban quickly circulated photographs purportedly showing Mr. Haqqani and Mr. Yaqoub, the oldest son of the Taliban’s leader, Mullah Omar, speaking with Haidar’s father.",Evidence,0.879705548286438,2838,3143,afghanistan-boy-dies-well
The public relations blitz followed weeks of headlines and international outcry accusing the Taliban of abducting several female activists who had protested after women’s rights were rolled back under the banner of strict Islamic law. The Taliban denied abducting the women even though they were eventually released.,Evidence,0.9830054640769958,3143,3459,afghanistan-boy-dies-well
"On Aug. 10, 2021, days before the collapse of Afghanistan’s government, Fawad Khan Safi arrived in the United States to begin his new life.",Claim,0.3872610032558441,0,139,afghanistan-immigration-visa-us
"Mr. Safi, who previously worked as a contractor for the United States Agency for International Development in Afghanistan, had waited an agonizing 12 months to receive his Special Immigrant Visa, or S.I.V., and make it to Texas. His ordeal lasted several months longer than the maximum nine-month visa processing period mandated by law — and yet, Mr. Safi is one of the lucky ones.",Evidence,0.9845075607299805,139,520,afghanistan-immigration-visa-us
"Around 60,000 Afghans who have worked with American forces and applied for visas remain in Afghanistan — many probably starving and on the run from the Taliban. Few, if any visas have ever been approved within that nine-month timeline. The system is clearly broken.",Evidence,0.9513683915138245,520,785,afghanistan-immigration-visa-us
"Despite the disturbing images of last summer’s evacuation, the obstacles facing S.I.V. applicants have continued to persist. To remedy this, Congress should overhaul the current S.I.V. process and pass an improved, permanent immigration program that swiftly and efficiently resettles those who apply for it.",Concluding Statement,0.652215838432312,785,1092,afghanistan-immigration-visa-us
"If the S.I.V. process isn’t fixed, U.S. enemies like the Taliban will continue to persecute those who put their lives at risk to protect American troops. In the long run, partners around the world whom the United States often relies on will most likely rethink the value of a close relationship with the American government if they see that they can’t depend on its support.",Evidence,0.8502283692359924,1092,1466,afghanistan-immigration-visa-us
"Congress enacted the first S.I.V. program — for which both Iraqi and Afghan interpreters were eligible — in 2006, several years after both conflicts began. From inception, the program was unable to process applications in a timely manner, resulting in a backlog that was never resolved. As their applications languished, interpreters working for the U.S. government were targeted for retribution. After the United States withdrew most of its troops from Iraq in 2011, Iraqi interpreters faced brutal consequences, in large part because of severe delays in the processing of S.I.V. applications.",Evidence,0.9868857860565186,1466,2060,afghanistan-immigration-visa-us
"Without immediate changes to the S.I.V. program, a similar fate awaits our Afghan allies.",Claim,0.7046772241592407,2060,2149,afghanistan-immigration-visa-us
"Currently, Afghans may apply for S.I.V.s via two tracks: A permanent program for interpreters who worked directly with the U.S. military, limited to only 50 people annually, and a much larger but temporary program for others working for or on behalf of the U.S. government. Each program has different application requirements, deadlines and visa quotas.",Evidence,0.8434579968452454,2149,2502,afghanistan-immigration-visa-us
"Unfortunately, Congress’s well-intentioned attempts to improve the S.I.V. programs have only increased their complexity, while insufficiently addressing their greatest weaknesses. Sporadic, temporary extensions have made it difficult for the executive branch to properly budget, staff and provide resources for the programs over time. For example, the State Department Office of the Inspector General found that from 2016 to 2020, the programs’ staffing numbers remained constant as a backlog grew and as Congress approved 15,500 additional visas.",Evidence,0.7227985858917236,2502,3049,afghanistan-immigration-visa-us
"Moreover, the responsibilities of the Departments of State, Homeland Security, and Defense in the immigration process are poorly delineated. Basic background and security checks span multiple agencies, and the coordination between these agencies has been inadequate.",Evidence,0.7432599663734436,3049,3315,afghanistan-immigration-visa-us
"But immediate steps can be taken to rectify the programs. First, Ambassador Elizabeth Jones — the current coordinator for Afghan relocation efforts at the State Department — needs more authority to speed up the bureaucratic machinery. The White House should designate her as presidential coordinator with the authority to direct and oversee the workings of other agency personnel.",Rebuttal,0.7666891813278198,3315,3695,afghanistan-immigration-visa-us
"The Biden administration has increased resources and decreased the processing time for the S.I.V. program in the last few months, but those moves fall far short of the major legislative overhaul the Afghan and Iraqi S.I.V. programs need. Congress should consolidate the multiple tracks of the S.I.V. programs into a permanent, unified framework that simplifies processing and eligibility rules. This program should allow for a more holistic security vetting process that considers context while screening effectively.",Evidence,0.48977434635162354,3695,4212,afghanistan-immigration-visa-us
"Currently, neither S.I.V. track allows applicants’ former U.S. supervisors to offer helpful context when red flags come up during initial background checks. Hypothetically, consider the case of an interpreter who, at the behest of his U.S. military supervisors, contacted insurgent sympathizers to collect information or obtain cooperation during the height of the conflict. Under the existing system, such applicants are typically disapproved as security risks without being provided sufficient recourse to appeal.",Evidence,0.9612039923667908,4212,4727,afghanistan-immigration-visa-us
"By limiting S.I.V. eligibility to Iraqis and Afghans, the U.S. government also ignores a slew of other allies who have risked their lives on behalf of American troops and missions. Syrian and Yemeni interpreters, for example, accompanied U.S. forces in battle against ISIS and Al Qaeda. They have no chance at resettlement in the United States through an S.I.V. program.",Evidence,0.9843791127204895,4727,5097,afghanistan-immigration-visa-us
"Expanding a permanent S.I.V. program to apply to other conflict zones would also prevent the need to create new legislation for those countries. In the past, some country-specific programs have fallen through the legislative cracks altogether. Most recently, Congress failed to enact a Syrian S.I.V. program despite more than one attempt to introduce such a bill. Our allies deserve better, especially in light of looming future crises such as the current standoff between Russia and Ukraine.",Evidence,0.9417531490325928,5097,5589,afghanistan-immigration-visa-us
"In Texas, Mr. Safi now works at a resettlement agency, paying his fortune forward by helping other new arrivals find work and a sense of community in their new country. Tragically, though, most refugees who have applied to the S.I.V. programs will not make it to the United States. Thousands are still waiting — terrified of Taliban retribution, hiding in basements.",Evidence,0.968713641166687,5589,5955,afghanistan-immigration-visa-us
It’s time to bring them to America.,Claim,0.6750279664993286,5955,5990,afghanistan-immigration-visa-us
"BRUNSWICK, Ga. — Defense lawyers in the hate crimes trial of the three white men convicted of murdering Ahmaud Arbery rested their case on Friday after calling just a single witness.",Evidence,0.7033983469009399,0,182,ahmaud-arbery-mcmichael-trial
"None of the defendants — Travis McMichael, his father, Gregory McMichael, and their neighbor William Bryan — took the stand in their own defense.",Evidence,0.420257031917572,182,327,ahmaud-arbery-mcmichael-trial
"The men were convicted in state court last year of chasing Mr. Arbery through their South Georgia neighborhood and murdering him. All three were sentenced to life in prison. In the federal trial, they stand accused of pursuing and killing Mr. Arbery specifically because he was Black.",Evidence,0.9846514463424683,327,611,ahmaud-arbery-mcmichael-trial
"On Friday, only the lawyer for Gregory McMichael presented evidence to the jury, in an attempt to buttress the defense’s central argument that the men chased Mr. Arbery because they suspected him of committing burglaries in the area, not because of his race.",Evidence,0.7622249722480774,611,869,ahmaud-arbery-mcmichael-trial
"The single defense witness, a woman who lived in the Satilla Shores neighborhood where the defendants lived and where Mr. Arbery died, testified that on one occasion in 2019 she saw a white man who appeared suspicious under a bridge near the entrance to the neighborhood. A.J. Balbo, Mr. McMichael’s lawyer, played a recording of a call Mr. McMichael made to authorities that summer after he, too, saw a white man under the bridge whom he thought was suspicious and perhaps responsible for burglaries. The defendants have argued in both trials that they were on alert because of a rash of break-ins.",Evidence,0.9872564077377319,869,1468,ahmaud-arbery-mcmichael-trial
An advocate for Mr. Arbery’s family expressed skepticism about that line of argument.,Claim,0.4384385943412781,1468,1553,ahmaud-arbery-mcmichael-trial
"“The defense tried to use this witness to show that their clients aren’t racist, that they called the police on a white man and were concerned about crime, but just because you called the police on a white person doesn’t mean you’re not racist,” said Lynn Whitfield, a senior attorney with the Transformative Justice Coalition who has been sitting with Mr. Arbery’s family during the court proceedings. “They didn’t chase the white man through the neighborhood with guns and kill him.”",Evidence,0.9724189639091492,1553,2038,ahmaud-arbery-mcmichael-trial
"The jury is tasked with determining whether the men deprived Mr. Arbery of his right to use a public street because he was Black, not whether they committed murder. The men are also charged with attempted kidnapping, and the McMichaels are charged with one count each of using a weapon during a violent crime. If convicted, they face up to life in prison. Guilty verdicts would have practical ramifications if the men’s state convictions were overturned on appeal.",Evidence,0.982763409614563,2038,2502,ahmaud-arbery-mcmichael-trial
"The defense witness on Friday came after prosecutors called 20 witnesses and introduced dozens of pieces of evidence over three and a half days, including text, WhatsApp and Facebook messages and comments containing racist language that the men posted and sent to others.",Evidence,0.9329603910446167,2502,2773,ahmaud-arbery-mcmichael-trial
"Among the prosecution’s witnesses was Kristie Ronquille, who testified on Friday morning.",Claim,0.6059383749961853,2773,2862,ahmaud-arbery-mcmichael-trial
"Ms. Ronquille said that in 2011, when she was in the Coast Guard in Pascagoula, Miss., Travis McMichael, then her supervisor, made disparaging comments about Black people after learning that she had previously dated a Black man. Crying on the stand, Ms. Ronquille said Mr. McMichael called her an “N-word lover” on more than one occasion after that.",Evidence,0.9884187579154968,2862,3211,ahmaud-arbery-mcmichael-trial
"Asked by Travis McMichael’s lawyer, Amy Lee Copeland, why she had not reported him, Ms. Ronquille said that she was new to the Coast Guard.",Evidence,0.5954750180244446,3211,3350,ahmaud-arbery-mcmichael-trial
"“This is my supervisor — it’d be like telling on your boss,” she said. “Who do you tell on your boss to?”",Evidence,0.41050735116004944,3350,3455,ahmaud-arbery-mcmichael-trial
"On Friday, the prosecution also called Kim Ballesteros, a neighbor of the McMichaels, who said she remembered standing at the end of a driveway, telling Gregory McMichael that she had a new rental property. Mr. McMichael told her about his own tenant, a Black woman who had rented a home from him. He said he had cut off the woman’s air-conditioning in the summer to goad her into paying her rent.",Evidence,0.9806168079376221,3455,3852,ahmaud-arbery-mcmichael-trial
"“You should have seen how fast her big fat Black ass came with the rent check,” Ms. Ballesteros recalled Mr. McMichael saying. Ms. Ballesteros said Mr. McMichael called the woman a “walrus” because she was “big and Black.”",Evidence,0.9449455738067627,3852,4074,ahmaud-arbery-mcmichael-trial
"“I was surprised,” Ms. Ballesteros said. “It was racist and uncomfortable, and I was frankly disappointed.”",Lead,0.40947863459587097,4074,4181,ahmaud-arbery-mcmichael-trial
"Mr. Balbo, Gregory McMichael’s lawyer, noted that Ms. Ballesteros continued to speak with Mr. McMichael after the incident and that his client rented to African Americans.",Evidence,0.7997766137123108,4181,4352,ahmaud-arbery-mcmichael-trial
"Another witness, Carole Sears, said she recalled hearing Gregory McMichael “rant” about Black people after finding out that Julian Bond, the civil rights leader, had died. At the time, Mr. McMichael was an investigator for the local district attorney’s office and she was riding in his car because of her involvement in a legal matter in Brunswick, Ga. Ms. Sears was upset about Mr. Bond’s death, while Mr. McMichael was pleased, she said. “I wish that guy had been in the ground years ago,” Ms. Sears recalled Mr. McMichael saying. “All those Blacks are nothing but trouble and I wish they’d all die.”",Evidence,0.9924221634864807,4352,4954,ahmaud-arbery-mcmichael-trial
Ms. Sears said she did not speak for the remainder of the ride because she was afraid.,Claim,0.5495681166648865,4954,5040,ahmaud-arbery-mcmichael-trial
"In their opening statements this week, defense lawyers criticized the racist language their clients used, but they also insisted that use of such language is not evidence that the men killed Mr. Arbery because he was Black.",Claim,0.42207133769989014,5040,5263,ahmaud-arbery-mcmichael-trial
"The men chased Mr. Arbery “not because he was a Black man, but because he was the man,” Mr. Balbo said in his opening statements.",Evidence,0.6425994038581848,5263,5392,ahmaud-arbery-mcmichael-trial
The jury will hear closing arguments from the government and the defendants on Monday.,Claim,0.5651424527168274,5392,5478,ahmaud-arbery-mcmichael-trial
"This spring, Philips Pham was among the more than 12,000 people in 148 countries who took an online class called Code in Place. Run by Stanford University, the course taught the fundamentals of computer programming.",Evidence,0.6869553923606873,0,215,ai-education-neural-networks
"Four weeks in, Mr. Pham, a 23-year-old student living at the southern tip of Sweden, typed his way through the first test, trying to write a program that could draw waves of tiny blue diamonds across a black-and-white grid. Several days later, he received a detailed critique of his code.",Evidence,0.8989871144294739,215,503,ai-education-neural-networks
"It applauded his work, but also pinpointed an error. “Seems like you have a small mistake,” the critique noted. “Perhaps you are running into the wall after drawing the third wave.”",Evidence,0.36042529344558716,503,684,ai-education-neural-networks
The feedback was just what Mr. Pham needed. And it came from a machine.,Claim,0.7571551203727722,684,755,ai-education-neural-networks
"During this online class, a new kind of artificial intelligence offered feedback to Mr. Pham and thousands of other students who took the same test. Built by a team of Stanford researchers, this automated system points to a new future for online education, which can so easily reach thousands of people but does not always provide the guidance that many students need and crave.",Evidence,0.5935297608375549,755,1133,ai-education-neural-networks
